id,name,char_code,num_code,nominal,value,cb_id,published_at
a4ba9a8d-536d-4b87-b2d0-1682673b27d2,Евро,EUR,978,1,96.0531,R01239,2024-01-18
b83912d0-0615-410a-8df6-34e054cb562e,Доллар США,USD,840,1,88.354,R01235,2024-01-18
